/a         auto or add
/a/b       back annotation
/a/p       auto-place
/a/d       auto-disperse
/a/r       auto-route
/a/o       optimize (djopt)
/b         buffer
/b/c       convert & clear
/b/m       mirror
/b/r       rotate
/b/s       subcircuit
/c         connections & rats
/e         edit
/e/m       move
/e/s       subcircuit or style
/e/g       geometry
/g         grid
/f         file
/f/x       export to
/f/c       configuration
/i         info
/i/c       configuration
/m         mode
/m/c       cursor/crosshair mode
/m/d       drawing (render) mode
/m/f       floater mode
/m/l       line drawing (routing) settings
/m/t       text drawing (routing) settings
/m/p       polygon drawing mode
/m/r       rubber band mode
/s         select
/s/a       select all...
/s/u       unselect all...
/s/c       convert selected
/r         routing helper
/r/r       routing radius
/t         tool
/u         undo
/v         view
/v/s       set view
/w         window
